2014-12-02 00:00:00 Launching analysis for 1249929887 with LEAN Engine v2.5.0.0
2014-12-02 00:00:00 Extreme Performance 2025 Strategy Initialized
2014-12-02 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2014-12-02 00:00:00 Algorithm starting warm up...
2015-01-02 11:00:00 Algorithm finished warming up.
2019-05-20 10:00:00 Weekly Stats - Trades: 204, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-05-28 10:00:00 Weekly Stats - Trades: 205, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-06-10 10:00:00 Weekly Stats - Trades: 210, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-06-17 10:00:00 Weekly Stats - Trades: 211, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-06-24 10:00:00 Weekly Stats - Trades: 213, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-07-08 10:00:00 Weekly Stats - Trades: 216, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-07-29 10:00:00 Weekly Stats - Trades: 219, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-08-05 10:00:00 Weekly Stats - Trades: 220, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-08-12 10:00:00 Weekly Stats - Trades: 223, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-08-19 10:00:00 Weekly Stats - Trades: 226, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-08-26 10:00:00 Weekly Stats - Trades: 228, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-09-03 10:00:00 Weekly Stats - Trades: 230, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-09-09 10:00:00 Weekly Stats - Trades: 232, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-09-16 10:00:00 Weekly Stats - Trades: 233, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-09-30 10:00:00 Weekly Stats - Trades: 234, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-10-07 10:00:00 Weekly Stats - Trades: 237, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-10-14 10:00:00 Weekly Stats - Trades: 240, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-10-21 10:00:00 Weekly Stats - Trades: 242, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-10-28 10:00:00 Weekly Stats - Trades: 243, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-11-04 10:00:00 Weekly Stats - Trades: 245, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-11-11 10:00:00 Weekly Stats - Trades: 247, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-11-18 10:00:00 Weekly Stats - Trades: 249, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-11-25 10:00:00 Weekly Stats - Trades: 250, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-12-02 10:00:00 Weekly Stats - Trades: 251, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-12-09 10:00:00 Weekly Stats - Trades: 254, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-12-16 10:00:00 Weekly Stats - Trades: 256, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-01-06 10:00:00 Weekly Stats - Trades: 257, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-01-21 10:00:00 Weekly Stats - Trades: 260, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-01-27 10:00:00 Weekly Stats - Trades: 262, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-02-03 10:00:00 Weekly Stats - Trades: 263, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-02-10 10:00:00 Weekly Stats - Trades: 266, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-02-18 10:00:00 Weekly Stats - Trades: 267, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-02-24 10:00:00 Weekly Stats - Trades: 268, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-03-09 10:00:00 Weekly Stats - Trades: 270, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-03-16 10:00:00 Weekly Stats - Trades: 273, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-03-23 10:00:00 Weekly Stats - Trades: 276, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-03-30 10:00:00 Weekly Stats - Trades: 279, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-04-06 10:00:00 Weekly Stats - Trades: 281, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-04-13 10:00:00 Weekly Stats - Trades: 286, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-04-20 10:00:00 Weekly Stats - Trades: 290, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-04-27 10:00:00 Weekly Stats - Trades: 292, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-05-04 10:00:00 Weekly Stats - Trades: 294, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-05-11 10:00:00 Weekly Stats - Trades: 297, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-05-18 10:00:00 Weekly Stats - Trades: 301, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-05-26 10:00:00 Weekly Stats - Trades: 303, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-06-01 10:00:00 Weekly Stats - Trades: 306, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-06-08 10:00:00 Weekly Stats - Trades: 311, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-06-15 10:00:00 Weekly Stats - Trades: 313, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-06-22 10:00:00 Weekly Stats - Trades: 315, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-06-29 10:00:00 Weekly Stats - Trades: 316, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-07-06 10:00:00 Weekly Stats - Trades: 319, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-07-13 10:00:00 Weekly Stats - Trades: 322, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-07-20 10:00:00 Weekly Stats - Trades: 324, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-07-27 10:00:00 Weekly Stats - Trades: 325, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-08-03 10:00:00 Weekly Stats - Trades: 329, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2020-08-10 10:00:00 Weekly Stats - Trades: 335, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
